"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.22, 2020"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","","A1101","A110101","A110102","A1102","A110201","A110202","A1231","A161001","A1700","A5101","A5102","A5103","A5104","A6101","A6102","A6103","A6104","A6105","A6106","A6107","A7101","A9101","A9201"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A1101_Total population (Both sexes)[person]","A110101_Total population (Male)[person]","A110102_Total population (Female)[person]","A1102_Japanese population (Both sexes)[person]","A110201_Japanese population (Male)[person]","A110202_Japanese population (Female)[person]","A1231_Median age[age]","A161001_Ratio of never married persons (population 15 years old and over)[%]","A1700_Foreigners (Total)[person]","A5101_Number of in-migrants from other municipalities[person]","A5102_Number of out-migrants to other municipalities[person]","A5103_Number of in-migrants from other prefectures (All nationalities)[person]","A5104_Number of out-migrants to other prefectures (All nationalities)[person]","A6101_Population not working or going to school[person]","A6102_Population working or schooling in the same shi, ku, machi or mura[person]","A6103_Outflow population (Population working or schooling in other shi, ku, machi or mura of the same prefecture)[person]","A6104_Outflow population (Population working or schooling in other prefecture)[person]","A6105_Inflow population (Population living in another shi, ku, machi or mura of the same prefecture)[person]","A6106_Inflow population (Population living in another prefecture)[person]","A6107_Daytime population[person]","A7101_Number of households (Total)[households]","A9101_Marriages[pairs]","A9201_Divorces[pairs]"
"2015100000","2015","01100","Hokkaido Sapporo-shi","","1,952,356","910,614","1,041,742","1,937,785","903,535","1,034,250","46.4","29.83508","8,820","120,932","112,759","***","***","702,976","516,479","449,147","4,383","457,962","2,952","1,959,740","921,837","10,800","4,492"
"2015100000","2015","01101","Hokkaido Sapporo-shi Chuo-ku","","237,627","107,756","129,871","235,280","106,503","128,777","44.2","36.29654","1,891","21,434","18,133","***","***","74,843","79,304","30,661","790","179,236","1,190","386,602","132,006","1,672","658"
"2015100000","2015","01102","Hokkaido Sapporo-shi Kita-ku","","285,321","134,534","150,787","281,851","132,881","148,970","45.8","30.80597","2,023","16,109","14,802","***","***","97,926","80,655","65,301","646","53,594","766","273,734","133,662","1,341","665"
"2015100000","2015","01103","Hokkaido Sapporo-shi Higashi-ku","","261,912","124,649","137,263","259,619","123,457","136,162","45.0","30.39551","1,121","15,971","14,484","***","***","93,003","72,539","57,625","379","43,693","198","247,799","124,425","1,689","644"
"2015100000","2015","01104","Hokkaido Sapporo-shi Shiroishi-ku","","209,584","99,020","110,564","207,888","98,316","109,572","44.8","31.27262","595","13,972","13,523","***","***","69,763","51,821","48,754","419","46,053","140","206,604","104,608","1,575","616"
"2015100000","2015","01105","Hokkaido Sapporo-shi Toyohira-ku","","218,652","101,482","117,170","217,089","100,717","116,372","44.9","32.14211","1,120","16,113","15,255","***","***","75,408","47,646","57,717","515","33,473","182","194,075","110,171","1,563","460"
"2015100000","2015","01106","Hokkaido Sapporo-shi Minami-ku","","141,190","65,305","75,885","140,507","65,000","75,507","52.8","25.94519","437","7,602","7,786","***","***","57,371","38,061","31,057","293","14,123","143","124,106","61,291","523","250"
"2015100000","2015","01107","Hokkaido Sapporo-shi Nishi-ku","","213,578","98,648","114,930","212,670","98,165","114,505","47.2","28.46785","566","11,923","11,415","***","***","81,662","52,778","53,199","435","31,031","130","191,105","97,750","1,094","435"
"2015100000","2015","01108","Hokkaido Sapporo-shi Atsubetsu-ku","","127,767","58,312","69,455","127,344","58,118","69,226","50.1","25.80754","408","6,584","6,494","***","***","53,356","29,968","36,043","341","25,929","88","117,400","55,585","512","235"
