"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.22, 2020"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","","B1102","B1103","B1104","B1105","B1106","B1107"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","B1102_Total land area (Incl. the northern territories and Takeshima)[ha]","B1103_Inhabitable area[ha]","B1104_Main lakes and marshes area[ha]","B1105_Woodland area[ha]","B1106_Forest area[ha]","B1107_Area of grass fields other than forest[ha]"
"2014100000","2014","01100","Hokkaido Sapporo-shi","","112126","44036","0","68228","67690","538"
"2014100000","2014","01101","Hokkaido Sapporo-shi Chuo-ku","","4642","2683","0","1957","1956","1"
"2014100000","2014","01102","Hokkaido Sapporo-shi Kita-ku","","6357","6319","0","38","37","1"
"2014100000","2014","01103","Hokkaido Sapporo-shi Higashi-ku","","5697","5696","0","1","0","1"
"2014100000","2014","01104","Hokkaido Sapporo-shi Shiroishi-ku","","3447","3441","0","6","0","6"
"2014100000","2014","01105","Hokkaido Sapporo-shi Toyohira-ku","","4623","2785","0","1999","1715","284"
"2014100000","2014","01106","Hokkaido Sapporo-shi Minami-ku","","65748","11348","0","54372","54255","117"
"2014100000","2014","01107","Hokkaido Sapporo-shi Nishi-ku","","7510","2887","0","4646","4645","1"
"2014100000","2014","01108","Hokkaido Sapporo-shi Atsubetsu-ku","","2438","2313","0","124","55","69"
"2014100000","2014","01109","Hokkaido Sapporo-shi Teine-ku","","5677","3563","0","2108","2104","4"
"2014100000","2014","01110","Hokkaido Sapporo-shi Kiyota-ku","","5987","3001","0","2977","2923","54"
"2014100000","2014","01202","Hokkaido Hakodate-shi","","67783","12838","0","55453","52925","2528"
"2014100000","2014","01203","Hokkaido Otaru-shi","","24383","8029","0","16374","15824","550"
"2014100000","2014","01204","Hokkaido Asahikawa-shi","","74766","35022","0","39572","39419","153"
"2014100000","2014","01205","Hokkaido Muroran-shi","","8088","4327","0","3761","2508","1253"
"2014100000","2014","01206","Hokkaido Kushiro-shi","","136292","29318","1611","103769","97770","5999"
"2014100000","2014","01207","Hokkaido Obihiro-shi","","61934","38220","0","23653","23173","480"
"2014100000","2014","01208","Hokkaido Kitami-shi","","142741","42064","5248","94975","93198","1777"
"2014100000","2014","01209","Hokkaido Yubari-shi","","76307","10806","0","65142","65127","15"
"2014100000","2014","01210","Hokkaido Iwamizawa-shi","","48102","31922","0","16271","16206","65"
"2014100000","2014","01211","Hokkaido Abashiri-shi","","47100","22387","8288","17218","15979","1239"
"2014100000","2014","01212","Hokkaido Rumoi-shi","","29783","5184","0","24582","24187","395"
"2014100000","2014","01213","Hokkaido Tomakomai-shi","","56157","19704","210","35765","32347","3418"
"2014100000","2014","01214","Hokkaido Wakkanai-shi","","76149","30994","467","43748","42295","1453"
"2014100000","2014","01215","Hokkaido Bibai-shi","","27769","15444","0","11993","11975","18"
"2014100000","2014","01216","Hokkaido Ashibetsu-shi","","86504","13729","0","72800","72178","622"
"2014100000","2014","01217","Hokkaido Ebetsu-shi","","18738","16806","0","1975","1950","25"
"2014100000","2014","01218","Hokkaido Akabira-shi","","12988","3670","0","9319","9316","3"
"2014100000","2014","01219","Hokkaido Mombetsu-shi","","83078","17326","484","65132","65047","85"
"2014100000","2014","01220","Hokkaido Shibetsu-shi","","111922","29593","0","83944","81310","2634"
"2014100000","2014","01221","Hokkaido Nayoro-shi","","53520","19964","0","33668","33470","198"
"2014100000","2014","01222","Hokkaido Mikasa-shi","","30252","5538","0","24574","24573","1"
"2014100000","2014","01223","Hokkaido Nemuro-shi","","50625","20981","572","19784","17204","2580"
"2014100000","2014","01224","Hokkaido Chitose-shi","","59450","19510","7848","31979","30435","1544"
"2014100000","2014","01225","Hokkaido Takikawa-shi","","11590","10206","0","1384","1270","114"
"2014100000","2014","01226","Hokkaido Sunagawa-shi","","7868","4937","0","2984","2885","99"
"2014100000","2014","01227","Hokkaido Utashinai-shi","","5595","1403","0","4197","4194","3"
"2014100000","2014","01228","Hokkaido Fukagawa-shi","","52942","21511","0","31490","31325","165"
"2014100000","2014","01229","Hokkaido Furano-shi","","60071","19847","0","40331","40301","30"
"2014100000","2014","01230","Hokkaido Noboribetsu-shi","","21221","3562","0","17477","15097","2380"
"2014100000","2014","01231","Hokkaido Eniwa-shi","","29465","9753","0","19729","17909","1820"
"2014100000","2014","01233","Hokkaido Date-shi","","44421","12250","0","31329","29682","1647"
"2014100000","2014","01234","Hokkaido Kitahiroshima-shi","","11905","7348","0","4505","4324","181"
"2014100000","2014","01235","Hokkaido Ishikari-shi","","72242","21784","0","50709","49430","1279"
"2014100000","2014","01236","Hokkaido Hokuto-shi","","39744","9518","0","29909","29252","657"
"2014100000","2014","01303","Hokkaido Tobetsu-cho","","42286","15896","0","26354","26285","69"
"2014100000","2014","01304","Hokkaido Shinshinotsu-mura","","7804","7597","0","215","200","15"
"2014100000","2014","01331","Hokkaido Matsumae-cho","","29325","3697","0","26962","23884","3078"
"2014100000","2014","01332","Hokkaido Fukushima-cho","","18728","1412","0","17087","16901","186"
"2014100000","2014","01333","Hokkaido Shiriuchi-cho","","19675","2484","0","16562","15681","881"
"2014100000","2014","01334","Hokkaido Kikonai-cho","","22187","2580","0","19966","19469","497"
"2014100000","2014","01337","Hokkaido Nanae-cho","","21675","7914","909","12552","12230","322"
"2014100000","2014","01343","Hokkaido Shikabe-cho","","11064","2050","0","8930","7429","1501"
"2014100000","2014","01345","Hokkaido Mori-machi","","36879","8845","0","27876","27340","536"
"2014100000","2014","01346","Hokkaido Yakumo-cho","","95602","17889","0","77797","76798","999"
"2014100000","2014","01347","Hokkaido Oshamambe-cho","","31076","7832","0","22854","22732","122"
"2014100000","2014","01361","Hokkaido Esashi-cho","","10953","2425","0","8263","7788","475"
"2014100000","2014","01362","Hokkaido Kaminokuni-cho","","54771","4261","0","50487","49561","926"
"2014100000","2014","01363","Hokkaido Assabu-cho","","46058","8285","0","37134","37010","124"
"2014100000","2014","01364","Hokkaido Otobe-cho","","16259","2161","0","13738","13274","464"
"2014100000","2014","01367","Hokkaido Okushiri-cho","","14297","1977","0","12332","10930","1402"
"2014100000","2014","01370","Hokkaido Imakane-cho","","56825","11285","0","44670","44636","34"
"2014100000","2014","01371","Hokkaido Setana-cho","","63866","13853","0","50009","49035","974"
"2014100000","2014","01391","Hokkaido Shimamaki-mura","","43718","4406","0","36758","35939","819"
"2014100000","2014","01392","Hokkaido Suttsu-cho","","9524","893","0","8053","7241","812"
"2014100000","2014","01393","Hokkaido Kuromatsunai-cho","","34565","4428","0","27280","25792","1488"
"2014100000","2014","01394","Hokkaido Rankoshi-cho","","44978","7346","0","37853","35473","2380"
"2014100000","2014","01395","Hokkaido Niseko-cho","","19713","5280","0","14559","13370","1189"
"2014100000","2014","01396","Hokkaido Makkari-mura","","11425","3588","0","7816","6652","1164"
"2014100000","2014","01397","Hokkaido Rusutsu-mura","","11984","3894","0","7443","7099","344"
"2014100000","2014","01398","Hokkaido Kimobetsu-cho","","18941","3086","0","15617","14588","1029"
"2014100000","2014","01399","Hokkaido Kyogoku-cho","","23149","3640","0","19411","17253","2158"
"2014100000","2014","01400","Hokkaido Kutchan-cho","","26134","7058","0","19245","16112","3133"
"2014100000","2014","01401","Hokkaido Kyowa-cho","","30491","8939","0","21821","20280","1541"
"2014100000","2014","01402","Hokkaido Iwanai-cho","","7060","1368","0","5703","4938","765"
"2014100000","2014","01403","Hokkaido Tomari-mura","","8228","557","0","7681","7160","521"
"2014100000","2014","01404","Hokkaido Kamoenai-mura","","14780","965","0","13806","13138","668"
"2014100000","2014","01405","Hokkaido Shakotan-cho","","23814","5074","0","18739","16325","2414"
"2014100000","2014","01406","Hokkaido Furubira-cho","","18836","2667","0","16154","15667","487"
"2014100000","2014","01407","Hokkaido Niki-cho","","16796","4071","0","12729","12377","352"
"2014100000","2014","01408","Hokkaido Yoichi-cho","","14059","3953","0","9671","9075","596"
"2014100000","2014","01409","Hokkaido Akaigawa-mura","","28009","2665","0","26282","23675","2607"
"2014100000","2014","01423","Hokkaido Nanporo-cho","","8136","7994","0","142","141","1"
"2014100000","2014","01424","Hokkaido Naie-cho","","8819","3962","0","4886","4860","26"
"2014100000","2014","01425","Hokkaido Kamisunagawa-cho","","3998","544","0","3454","3454","0"
"2014100000","2014","01427","Hokkaido Yuni-cho","","13374","8435","0","4899","4834","65"
"2014100000","2014","01428","Hokkaido Naganuma-cho","","16852","15007","0","1850","1834","16"
"2014100000","2014","01429","Hokkaido Kuriyama-cho","","20393","9321","0","11011","10468","543"
"2014100000","2014","01430","Hokkaido Tsukigata-cho","","15040","6166","0","8947","8910","37"
"2014100000","2014","01431","Hokkaido Urausu-cho","","10183","5237","0","4920","4884","36"
"2014100000","2014","01432","Hokkaido Shintotsukawa-cho","","49547","11072","0","38376","38340","36"
"2014100000","2014","01433","Hokkaido Moseushi-cho","","4864","4861","0","3","1","2"
"2014100000","2014","01434","Hokkaido Chippubetsu-cho","","4718","4425","0","290","272","18"
"2014100000","2014","01436","Hokkaido Uryu-cho","","19115","6990","0","12064","12063","1"
"2014100000","2014","01437","Hokkaido Hokuryu-cho","","15870","5445","0","10226","10219","7"
"2014100000","2014","01438","Hokkaido Numata-cho","","28335","7881","0","20520","20508","12"
"2014100000","2014","01452","Hokkaido Takasu-cho","","13942","7670","0","6419","6419","0"
"2014100000","2014","01453","Hokkaido Higashikagura-cho","","6850","5394","0","1447","1447","0"
"2014100000","2014","01454","Hokkaido Tohma-cho","","20490","7075","0","13405","13405","0"
"2014100000","2014","01455","Hokkaido Pippu-cho","","8690","4247","0","4437","4437","0"
"2014100000","2014","01456","Hokkaido Aibetsu-cho","","25013","4502","0","20485","20383","102"
"2014100000","2014","01457","Hokkaido Kamikawa-cho","","104947","15798","0","89150","89142","8"
"2014100000","2014","01458","Hokkaido Higashikawa-cho","","24730","7448","0","16809","16806","3"
"2014100000","2014","01459","Hokkaido Biei-cho","","67678","31419","0","36151","36104","47"
