"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.22, 2020"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","","E1101","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E4101","E4501","E9101","E9102","E9103","E9105","E9106"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","E1101_Number of kindergartens[number of kindergartens]","E1501_Number of Kindergarten students[person]","E2101_Number of elementary schools[number of schools]","E2401_Number of elementary school teachers[person]","E2501_Elementary school students[person]","E3101_Number of lower secondary schools[number of schools]","E3401_Number of lower secondary school teachers[person]","E3501_Lower secondary school students[person]","E4101_Number of upper secondary schools[number of schools]","E4501_Upper secondary school students[person]","E9101_Population by last school completed (Graduates) (Total)[person]","E9102_Population by last school completed (Elementary school, lower secondary school)[person]","E9103_Population by last school completed (Upper secondary school, lower secondary schools under the old educational system)[person]","E9105_Population by last school completed (Junior college, college of technology)[person]","E9106_Population by last school completed (University and graduate school)[person]"
"2015100000","2015","01100","Hokkaido Sapporo-shi","","127","22645","206","4811","89770","108","3027","46814","53","45616","***","***","***","***","***"
"2015100000","2015","01101","Hokkaido Sapporo-shi Chuo-ku","","15","1824","18","484","9899","11","279","4403","8","6542","***","***","***","***","***"
"2015100000","2015","01102","Hokkaido Sapporo-shi Kita-ku","","17","3263","31","748","14553","16","488","7817","9","8067","***","***","***","***","***"
"2015100000","2015","01103","Hokkaido Sapporo-shi Higashi-ku","","13","2992","27","620","11456","15","431","6405","7","6579","***","***","***","***","***"
"2015100000","2015","01104","Hokkaido Sapporo-shi Shiroishi-ku","","9","2094","20","494","8831","8","271","4414","3","2484","***","***","***","***","***"
"2015100000","2015","01105","Hokkaido Sapporo-shi Toyohira-ku","","15","3392","22","498","9660","11","308","4564","6","6005","***","***","***","***","***"
"2015100000","2015","01106","Hokkaido Sapporo-shi Minami-ku","","18","1584","22","382","5890","11","237","3209","6","4065","***","***","***","***","***"
"2015100000","2015","01107","Hokkaido Sapporo-shi Nishi-ku","","13","2238","20","504","9858","10","323","5366","3","2885","***","***","***","***","***"
"2015100000","2015","01108","Hokkaido Sapporo-shi Atsubetsu-ku","","10","1182","15","333","5829","9","218","3196","4","3448","***","***","***","***","***"
"2015100000","2015","01109","Hokkaido Sapporo-shi Teine-ku","","9","2603","16","387","7114","9","237","3672","3","2711","***","***","***","***","***"
"2015100000","2015","01110","Hokkaido Sapporo-shi Kiyota-ku","","8","1473","15","361","6680","8","235","3768","4","2830","***","***","***","***","***"
"2015100000","2015","01202","Hokkaido Hakodate-shi","","23","2686","48","766","11311","32","535","6397","15","7712","***","***","***","***","***"
"2015100000","2015","01203","Hokkaido Otaru-shi","","14","1033","24","382","4705","15","262","2789","8","3596","***","***","***","***","***"
"2015100000","2015","01204","Hokkaido Asahikawa-shi","","30","2826","56","1221","16303","28","647","8559","14","9277","***","***","***","***","***"
"2015100000","2015","01205","Hokkaido Muroran-shi","","11","1081","16","288","3786","8","164","2096","6","2960","***","***","***","***","***"
"2015100000","2015","01206","Hokkaido Kushiro-shi","","29","2493","29","607","8329","17","377","4428","8","4408","***","***","***","***","***"
"2015100000","2015","01207","Hokkaido Obihiro-shi","","13","2088","26","591","8068","14","347","4259","8","5236","***","***","***","***","***"
"2015100000","2015","01208","Hokkaido Kitami-shi","","11","1023","26","478","5617","15","295","3106","8","3275","***","***","***","***","***"
"2015100000","2015","01209","Hokkaido Yubari-shi","","1","20","1","20","217","1","17","119","1","110","***","***","***","***","***"
"2015100000","2015","01210","Hokkaido Iwamizawa-shi","","6","804","15","292","3756","10","199","2100","4","2668","***","***","***","***","***"
"2015100000","2015","01211","Hokkaido Abashiri-shi","","5","491","9","193","1817","6","106","993","2","1041","***","***","***","***","***"
"2015100000","2015","01212","Hokkaido Rumoi-shi","","2","235","5","103","964","3","57","463","2","639","***","***","***","***","***"
"2015100000","2015","01213","Hokkaido Tomakomai-shi","","18","2913","24","571","9179","15","353","4706","7","3999","***","***","***","***","***"
"2015100000","2015","01214","Hokkaido Wakkanai-shi","","6","488","12","172","1708","8","119","936","2","924","***","***","***","***","***"
