"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.22, 2020"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","","F1101","F1102","F1103","F1104","F1105","F1106","F1107","F110701","F110702","F1108","F1109","F1110","F1111","F2401","F2402","F2403","F2404","F2705","F270501","F270502"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","F1101_(Population census) Population in labour force[person]","F1102_(Population census) Employed persons[person]","F1103_(Population census) Employed persons, mostly worked[person]","F1104_(Population census) Employed persons, worked besides doing housework[person]","F1105_(Population census) Employed persons, working besides mainly attending school[person]","F1106_(Population census) Employed persons, Absent from work[person]","F1107_(Population census) Unemployed persons[person]","F110701_(Population census) Unemployed persons (Male)[person]","F110702_(Population census) Unemployed persons (Female)[person]","F1108_(Population census) Population not in labour force[person]","F1109_(Population census) Population not in labour force, doing housework[person]","F1110_(Population census) Population not in labour force, attending school[person]","F1111_(Population census) Population not in labour force, others[person]","F2401_(Population census) No. of employees[person]","F2402_No. of board member of company, etc.[person]","F2403_No. of self-employed, employing others[person]","F2404_No. of self-employed, not employing others[person]","F2705_Commuters to other municipalities[person]","F270501_Commuters to other municipalities (Male)[person]","F270502_Commuters to other municipalities (Female)[person]"
"2015100000","2015","01100","Hokkaido Sapporo-shi","","892932","844313","697836","110809","19156","16512","48619","29114","19505","651052","251107","93668","306277","675398","44420","11380","40148","403594","241357","162237"
"2015100000","2015","01101","Hokkaido Sapporo-shi Chuo-ku","","108064","102279","87322","10906","2089","1962","5785","2992","2793","68920","28274","10865","29781","74708","7385","2158","4945","25909","15284","10625"
"2015100000","2015","01102","Hokkaido Sapporo-shi Kita-ku","","129316","122701","98818","16844","4427","2612","6615","4056","2559","95273","35910","17920","41443","98203","6305","1671","6307","59261","35629","23632"
"2015100000","2015","01103","Hokkaido Sapporo-shi Higashi-ku","","121080","114463","95151","14623","2555","2134","6617","4080","2537","84208","31702","11750","40756","92061","5721","1439","5415","51585","30745","20840"
"2015100000","2015","01104","Hokkaido Sapporo-shi Shiroishi-ku","","99569","93850","78661","11443","1655","2091","5719","3406","2313","60364","23374","7421","29569","74069","4393","1059","4279","44083","24963","19120"
"2015100000","2015","01105","Hokkaido Sapporo-shi Toyohira-ku","","101892","96299","80521","11562","2198","2018","5593","3289","2304","68167","26860","9433","31874","76201","4625","1159","4411","53251","30291","22960"
"2015100000","2015","01106","Hokkaido Sapporo-shi Minami-ku","","62332","59135","47775","8733","1264","1363","3197","2025","1172","55341","20880","7035","27426","47641","3282","826","3279","27996","17414","10582"
"2015100000","2015","01107","Hokkaido Sapporo-shi Nishi-ku","","97581","91945","76986","11941","1474","1544","5636","3438","2198","73958","29282","9034","35642","75066","4624","1228","4398","47704","28434","19270"
"2015100000","2015","01108","Hokkaido Sapporo-shi Atsubetsu-ku","","58573","55077","44915","7935","1141","1086","3496","2097","1399","50893","19365","6762","24766","47124","2530","576","2145","32001","19468","12533"
